,position,read_depth-YMR186W-SRR1520311-a-v2-p4,norm_cov-YMR186W-SRR1520311-a-v2-p4,read_depth-YMR186W-SRR1520311-v2-p4-m1,norm_cov-YMR186W-SRR1520311-v2-p4-m1
0,1,113,0.05787404402300221,2,0.0025027488288305324
1,2,130,0.06658075861053352,2,0.0025027488288305324
2,3,192,0.09833465887094181,5,0.00625687207207633
3,4,279,0.14289255117183733,8,0.01001099531532213
4,5,317,0.1623546190733779,10,0.01251374414415266
5,6,373,0.19103556124406926,10,0.01251374414415266
6,7,376,0.19257204028892771,10,0.01251374414415266
7,8,403,0.20640035169265392,12,0.015016492972983193
8,9,430,0.2202286630963801,13,0.01626786738739846
9,10,455,0.2330326551368673,15,0.018770616216228993
10,11,461,0.23610561322658424,15,0.018770616216228993
11,12,517,0.2647865553972756,15,0.018770616216228993
12,13,590,0.3021742121554983,15,0.018770616216228993
13,14,628,0.3216362800570388,16,0.02002199063064426
14,15,834,0.4271411744706535,17,0.021273365045059524
15,16,864,0.44250596491923816,17,0.021273365045059524
16,17,916,0.46913826836345157,17,0.021273365045059524
17,18,981,0.5024286476687183,17,0.021273365045059524
18,19,1010,0.5172812784356835,17,0.021273365045059524
19,20,1020,0.5224028752518783,17,0.021273365045059524
20,21,1099,0.562863490099818,18,0.02252473945947479
21,22,1145,0.5864228354543144,18,0.02252473945947479
22,23,1155,0.5915444322705093,18,0.02252473945947479
23,24,1309,0.6704170232399106,19,0.023776113873890056
24,25,1328,0.6801480571906808,20,0.02502748828830532
25,26,1336,0.6842453346436368,20,0.02502748828830532
26,27,1435,0.7349491431239661,22,0.027530237117135856
27,28,1537,0.7871894306491539,23,0.02878161153155112
28,29,1598,0.8184311712279427,25,0.03128436036038165
29,30,1630,0.8348202810397665,23,0.02878161153155112
30,31,1622,0.8307230035868105,23,0.02878161153155112
31,32,1633,0.8363567600846249,20,0.02502748828830532
32,33,1631,0.8353324407213859,20,0.02502748828830532
33,34,1672,0.8563309876677849,18,0.02252473945947479
34,35,1623,0.8312351632684299,18,0.02252473945947479
35,36,1636,0.8378932391294833,18,0.02252473945947479
36,37,1611,0.8250892470889961,16,0.02002199063064426
37,38,1587,0.8127974147301285,15,0.018770616216228993
38,39,1565,0.8015299017344997,13,0.01626786738739846
39,40,1552,0.7948718258734463,13,0.01626786738739846
40,41,1438,0.7364856221688246,13,0.01626786738739846
41,42,1430,0.7323883447158687,14,0.017519241801813724
42,43,1404,0.719072192993762,13,0.01626786738739846
43,44,1224,0.626883450302254,12,0.015016492972983193
44,45,1191,0.609982180808811,12,0.015016492972983193
45,46,1389,0.7113897977694696,16,0.02002199063064426
46,47,1350,0.6914155701863096,16,0.02002199063064426
47,48,1376,0.7047317219084163,16,0.02002199063064426
48,49,1413,0.7236816301283374,16,0.02002199063064426
49,50,1399,0.7165113945856646,15,0.018770616216228993
50,51,1485,0.7605571272049405,15,0.018770616216228993
51,52,1524,0.7805313547881007,17,0.021273365045059524
52,53,1422,0.7282910672629128,16,0.02002199063064426
53,54,1440,0.7375099415320636,19,0.023776113873890056
54,55,1451,0.7431436980298779,19,0.023776113873890056
55,56,1312,0.671953502284769,17,0.021273365045059524
56,57,1297,0.6642711070604768,17,0.021273365045059524
57,58,1304,0.6678562248318132,15,0.018770616216228993
58,59,1267,0.648906316611892,15,0.018770616216228993
59,60,1268,0.6494184762935116,15,0.018770616216228993
60,61,1268,0.6494184762935116,14,0.017519241801813724
61,62,1268,0.6494184762935116,15,0.018770616216228993
62,63,1284,0.6576130311994234,17,0.021273365045059524
63,64,1467,0.7513382529357898,17,0.021273365045059524
64,65,1599,0.8189433309095623,18,0.02252473945947479
65,66,1632,0.8358446004030053,18,0.02252473945947479
66,67,1730,0.8860362492017153,18,0.02252473945947479
67,68,1810,0.9270090237312744,18,0.02252473945947479
68,69,1909,0.9777128322116038,18,0.02252473945947479
69,70,2041,1.0453179101853762,18,0.02252473945947479
70,71,2099,1.0750231717193066,17,0.021273365045059524
71,72,2165,1.1088257107061927,17,0.021273365045059524
72,73,2200,1.126751299562875,17,0.021273365045059524
73,74,2088,1.0693894152214922,14,0.017519241801813724
74,75,2021,1.0350747165529866,13,0.01626786738739846
75,76,2059,1.054536784454527,13,0.01626786738739846
76,77,2055,1.052488145728049,26,0.03253573477479692
77,78,2375,1.2163792438462855,41,0.05130635099102591
78,79,2742,1.4043418470006377,42,0.05255772540544118
79,80,2643,1.3536380385203084,42,0.05255772540544118
80,81,2676,1.3705393080137516,40,0.05005497657661064
81,82,2677,1.371051467695371,40,0.05005497657661064
82,83,2702,1.383855459735858,39,0.04880360216219538
83,84,2760,1.4135607212697885,63,0.07883658810816177
84,85,3147,1.6117665180565306,145,0.1814492900902136
85,86,3186,1.6317407456396906,150,0.1877061621622899
86,87,3232,1.655300090994187,151,0.1889575365767052
87,88,3323,1.7019066220215606,154,0.19271165981995098
88,89,3268,1.6737378395324887,192,0.2402638875677311
89,90,3306,1.6931999074340294,280,0.3503848360362745
90,91,3315,1.6978093445686047,322,0.4029425614417157
91,92,3163,1.6199610729624425,359,0.44924341477508056
92,93,3103,1.589231492065273,392,0.4905387704507843
93,94,3078,1.5764275000247858,467,0.5843918515319293
94,95,2981,1.5267480109076954,472,0.5906487236040056
95,96,3004,1.5385276835849437,536,0.6707366861265827
96,97,2923,1.4970427493737652,538,0.6732394349554132
97,98,2778,1.4227795955389393,543,0.6794963070274895
98,99,2724,1.3951229727314869,574,0.7182889138743628
99,100,2725,1.3956351324131064,643,0.8046337484690161
100,101,2681,1.3731001064218489,709,0.8872244598204236
101,102,2659,1.36183259342622,710,0.888475834234839
102,103,2654,1.3592717950181228,767,0.9598041758565091
103,104,2596,1.3295665334841924,771,0.9648096735141701
104,105,2595,1.3290543738025729,798,0.9985967827033824
105,106,2595,1.3290543738025729,888,1.1112204800007563
106,107,1932,0.989492504888852,927,1.1600240821629517
107,108,1940,0.9935897823418078,989,1.2376092958566982
108,109,2009,1.0289288003735526,1088,1.3614953628838096
109,110,2078,1.0642678184052974,1218,1.524174036757794
110,111,2067,1.058634061907483,1223,1.5304309088298704
111,112,2033,1.0412206327324203,1275,1.5955023783794644
112,113,1801,0.922399586596699,1285,1.608016122523617
113,114,1770,0.9065226364664948,1415,1.7706947963976016
114,115,1759,0.9008888799686804,1554,1.9446358400013235
115,116,1630,0.8348202810397665,1594,1.9946908165779342
116,117,1648,0.8440391553089172,1648,2.0622650349563587
117,118,1643,0.8414783569008197,1643,2.0560081628842823
118,119,1657,0.8486485924434926,1657,2.073527404686096
119,120,1667,0.8537701892596875,1667,2.086041148830249
120,121,1661,0.8506972311699705,1661,2.078532902343757
121,122,1678,0.8594039457575019,1678,2.0998062673888165
122,123,2020,1.034562556871367,2020,2.5277763171188377
123,124,2058,1.0540246247729075,2058,2.575328544866618
124,125,2156,1.1042162735716174,2156,2.6979632374793137
125,126,2250,1.1523592836438494,2250,2.815592432434349
126,127,2252,1.1533836030070883,2252,2.818095181263179
127,128,2243,1.148774165872513,2243,2.8068328115334418
128,129,2380,1.2189400422543828,2376,2.973265608650672
129,130,2326,1.1912834194469304,2312,2.893177646128095
130,131,2309,1.1825767048593991,2265,2.834363048650578
131,132,2370,1.213818445438188,2277,2.849379541623561
132,133,2572,1.3172747011253247,2339,2.9269647553173073
133,134,2512,1.2865451202281553,2258,2.825603427749671
134,135,2521,1.2911545573627308,2199,2.7517723372991703
135,136,2529,1.2952518348156867,2148,2.6879522421639916
136,137,2511,1.286032960546536,2118,2.6504110097315334
137,138,2581,1.3218841382599,2183,2.731750346668526
138,139,2530,1.295763994497306,2068,2.58784228901077
139,140,2500,1.2803992040487215,2022,2.530279065947668
140,141,3516,1.800753440574122,2925,3.6602701621646534
141,142,3664,1.8765530734538063,2879,3.602706939101551
142,143,3422,1.75261043050189,2620,3.278600965767997
143,144,3452,1.7679752209504747,2538,3.1759882637859453
144,145,3477,1.7807792129909619,2512,3.1434525290111486
145,146,3521,1.8033142389822194,2435,3.047096699101173
146,147,3674,1.8816746702700011,2416,3.023320585227283
147,148,3599,1.8432626941485395,2308,2.888172148470434
148,149,3557,1.821751987520521,2249,2.8143410580199335
149,150,3665,1.8770652331354256,2238,2.8005759394613654
150,151,3809,1.950816227288632,2187,2.736755844326187
151,152,3373,1.727514606102535,1708,2.1373474998212747
152,153,3488,1.7864129694887763,1670,2.0897952720734945
153,154,3383,1.7326362029187299,1562,1.9546468353166457
154,155,3279,1.679371596030303,1452,1.8169956497309665
155,156,3347,1.7141984543804283,1440,1.8019791567579833
156,157,3384,1.7331483626003494,1409,1.76318654991111
157,158,3250,1.6645189652633379,1292,1.6167757434245238
158,159,3289,1.684493192846498,1348,1.6868527106317788
159,160,3346,1.7136862946988087,1424,1.781957166127339
160,161,3216,1.6471055360882754,1410,1.7644379243255253
161,162,3245,1.6619581668552406,1498,1.8745588727940687
162,163,3326,1.703443101066419,1611,2.015964181622994
163,164,3228,1.653251452267709,1619,2.025975176938316
164,165,3655,1.8719436363192308,2057,2.5740771704522025
165,166,3628,1.8581153249155047,2039,2.5515524309927278
166,167,3537,1.8115087938881311,1986,2.4852295870287184
167,168,3637,1.86272476205008,2123,2.65666788180361
168,169,3718,1.9042096962612587,2221,2.779302574416306
169,170,2619,1.3413462061614407,1350,1.6893554594606093
170,171,2564,1.3131774236723688,1362,1.7043719524335925
171,172,2684,1.3746365854667073,1502,1.8795643704517297
172,173,2580,1.3213719785782805,1545,1.9333734702715861
173,174,2605,1.3341759706187677,1599,2.0009476886500104
174,175,2499,1.279887044367102,1600,2.0021990630644257
175,176,2317,1.186673982312355,1601,2.003450437478841
176,177,2327,1.19179557912855,1630,2.039740295496884
177,178,2387,1.2225251600257192,1715,2.1461071207221813
178,179,2115,1.0832177266252183,1722,2.1548667416230884
179,180,2094,1.072462373311209,1758,2.199916220542038
180,181,2088,1.0693894152214922,1771,2.2161840879294363
181,182,1962,1.0048572953374366,1792,2.2424629506321567
182,183,1970,1.0089545727903926,1803,2.256228069190725
183,184,1980,1.0140761696065874,1827,2.2862610551366913
184,185,1891,0.968493957942453,1858,2.3250536619835644
185,186,1934,0.990516824252091,1934,2.4201581174791245
186,187,1910,0.9782249918932232,1910,2.3901251315331584
187,188,1841,0.9428859738614785,1841,2.303780296938505
188,189,1771,0.9070347961481143,1771,2.2161840879294363
189,190,1798,0.9208631075518405,1798,2.2499711971186485
190,191,1601,0.8199676502728013,1601,2.003450437478841
191,192,1579,0.8087001372771725,1579,1.9759202003617051
192,193,1568,0.8030663807793581,1568,1.9621550818031372
193,194,1107,0.5669607675527739,1107,1.3852714767576997
194,195,1066,0.5459622206063749,1066,1.3339651257666736
195,196,1072,0.5490351786960918,1072,1.3414733722531653
196,197,869,0.4450667633273356,869,1.0874443661268662
197,198,836,0.42816549383389246,836,1.0461490104511624
198,199,815,0.41741014051988323,815,1.019870147748442
199,200,716,0.36670633203955383,716,0.8959840807213305
200,201,693,0.3549266593623056,693,0.8672024691897794
201,202,690,0.3533901803174471,690,0.8634483459465336
202,203,642,0.3288065155997117,642,0.8033823740546009
203,204,649,0.3323916333710481,649,0.8121419949555078
204,205,645,0.3303429946445701,645,0.8071364972978466
205,206,580,0.2970526153393034,580,0.7257971603608544
206,207,646,0.3308551543261896,644,0.8058851228834314
207,208,712,0.3646576933130759,650,0.813393369369923
208,209,689,0.3528780206358276,611,0.7645897672077276
209,210,727,0.3723400885373682,646,0.8083878717122619
210,211,715,0.36619417235793433,634,0.7933713787392788
211,212,700,0.358511777133642,615,0.7695952648653887
212,213,708,0.3626090545865979,605,0.757081520721236
213,214,711,0.3641455336314564,570,0.7132834162167017
214,215,656,0.3359767511423845,477,0.5969055956760819
215,216,806,0.41280070338530783,472,0.5906487236040056
216,217,802,0.41075206465882985,463,0.5793863538742682
217,218,782,0.40050887102644006,422,0.5280800028832423
218,219,791,0.40511830816101546,402,0.5030525145949369
219,220,894,0.4578707553678228,401,0.5018011401805217
220,221,900,0.46094371345753976,373,0.46676265657689425
221,222,1181,0.604860583992616,371,0.46425990774806375
222,223,1195,0.6120308195352888,361,0.45174616360391107
223,224,1173,0.6007633065396601,328,0.41045080792820726
224,225,1207,0.6181767357147228,319,0.3991884381984699
225,226,1216,0.6227861728492982,299,0.3741609499101646
226,227,1333,0.6827088555987783,273,0.34162521513536764
227,228,1345,0.6888547717782122,257,0.3216032245047234
228,229,1547,0.7923110274653489,241,0.30158123387407915
229,230,1563,0.8005055823712607,215,0.2690454990992822
230,231,1595,0.8168946921830843,204,0.2552803805407143
231,232,1678,0.8594039457575019,198,0.2477721340542227
232,233,1709,0.875280895887706,192,0.2402638875677311
233,234,1858,0.9515926884490098,192,0.2402638875677311
234,235,1900,0.9731033950770284,186,0.2327556410812395
235,236,1738,0.8901335266546712,63,0.07883658810816177
236,237,1731,0.8865484088833347,60,0.07508246486491597
237,238,1787,0.9152293510540261,51,0.06382009513517857
238,239,1844,0.944422452906337,6,0.007508246486491597
239,240,1868,0.9567142852652047,5,0.00625687207207633
240,241,1866,0.9556899659019658,0,0.0
241,242,1837,0.9408373351350006,0,0.0
242,243,1901,0.9736155547586478,0,0.0
243,244,2126,1.0888514831230327,0,0.0
244,245,2068,1.0591462215891023,0,0.0
245,246,2097,1.0739988523560675,0,0.0
246,247,2093,1.0719502136295895,0,0.0
247,248,1986,1.0171491276963043,1,0.0012513744144152662
248,249,1990,1.0191977664227823,2,0.0025027488288305324
249,250,2108,1.079632608853882,40,0.05005497657661064
250,251,1816,0.9300819818209913,41,0.05130635099102591
251,252,1812,0.9280333430945134,41,0.05130635099102591
252,253,1840,0.942373814179859,43,0.053809099819856446
253,254,1816,0.9300819818209913,77,0.09635582990997549
254,255,1822,0.9331549399107082,98,0.12263469261269608
255,256,1777,0.9101077542378312,106,0.1326456879280182
256,257,1559,0.7984569436447827,117,0.14641080648658614
257,258,1555,0.7964083049183047,133,0.16643279711723039
258,259,1558,0.7979447839631633,136,0.1701869203604762
259,260,1537,0.7871894306491539,217,0.2715482479281128
260,261,1537,0.7871894306491539,219,0.2740509967569433
261,262,1530,0.7836043128778175,234,0.2928216129731723
262,263,1375,0.7042195622267968,260,0.3253573477479692
263,264,1506,0.7713124805189499,401,0.5018011401805217
264,265,1533,0.785140791922676,437,0.5468506190994713
265,266,1532,0.7846286322410565,462,0.5781349794598529
266,267,1505,0.7708003208373303,483,0.6044138421625735
267,268,1512,0.7743854386086667,596,0.7458191509914986
268,269,1565,0.8015299017344997,684,0.855940099460042
269,270,1597,0.8179190115463233,721,0.9022409527934069
270,271,1797,0.920350947870221,943,1.180046072793596
271,272,1605,0.8220162889992791,991,1.2401120446855287
272,273,1583,0.8107487760036505,1049,1.3126917607216142
273,274,1526,0.7815556741513396,1050,1.3139431351360293
274,275,1500,0.7682395224292329,1071,1.34022199783875
275,276,1567,0.8025542210977387,1137,1.4228127091901577
276,277,1562,0.7999934226896411,1136,1.4215613347757423
277,278,1495,0.7656787240211355,1124,1.406544841802759
278,279,1403,0.7185600333121425,1097,1.372757732613547
279,280,1418,0.7262424285364348,1114,1.3940310976586066
280,281,1468,0.7518504126174093,1191,1.490386927568582
281,282,1445,0.740070739940161,1188,1.486632804325336
282,283,1566,0.8020420614161191,1309,1.6380491084695834
283,284,1496,0.7661908837027549,1305,1.6330436108119224
284,285,1481,0.7585084884784626,1309,1.6380491084695834
285,286,1563,0.8005055823712607,1391,1.7406618104516351
286,287,1572,0.8051150195058361,1435,1.7957222846859069
287,288,1706,0.8737444168428475,1572,1.9671605794607983
288,289,1675,0.8578674667126434,1545,1.9333734702715861
289,290,1689,0.8650377022553163,1605,2.008455935136502
290,291,1707,0.874256576524467,1626,2.0347347978392225
291,292,1900,0.9731033950770284,1620,2.027226551352731
292,293,1746,0.8942308041076271,1455,1.8207497729742121
293,294,1782,0.9126685526459287,1477,1.8482800100913481
294,295,1862,0.9536413271754878,1455,1.8207497729742121
295,296,1793,0.918302309143743,1382,1.7293994407218978
296,297,1745,0.8937186444260076,1317,1.6480601037849054
297,298,1672,0.8563309876677849,1237,1.5479501506316842
298,299,1465,0.7503139335725508,1036,1.2964238933342156
299,300,1440,0.7375099415320636,978,1.2238441772981303
300,301,1592,0.8153582131382259,958,1.1988166890098249
301,302,1597,0.8179190115463233,973,1.217587305226054
302,303,1737,0.8896213669730517,976,1.2213414284692998
303,304,1723,0.8824511314303789,960,1.2013194378386556
304,305,1660,0.8501850714883511,894,1.1187287264872479
305,306,1668,0.854282348941307,893,1.1174773520728327
306,307,1671,0.8558188279861655,893,1.1174773520728327
307,308,1672,0.8563309876677849,890,1.1137232288295869
308,309,1654,0.8471121133986341,872,1.091198489370112
309,310,1573,0.8056271791874555,779,0.9748206688294923
310,311,1478,0.7569720094336041,684,0.855940099460042
311,312,1415,0.7247059494915764,619,0.7746007625230498
312,313,1520,0.7784827160616227,601,0.7520760230635749
313,314,1492,0.764142244976277,561,0.7020210464869643
314,315,1463,0.7492896142093118,519,0.6494633210815232
315,316,1410,0.7221451510834789,445,0.5568616144147934
316,317,1219,0.6243226518941566,254,0.3178491012614776
317,318,1266,0.6483941569302726,240,0.3003298594596639
318,319,1220,0.6248348115757761,193,0.24151526198214637
319,320,1034,0.5295731107945512,150,0.1877061621622899
320,321,995,0.5095988832113911,142,0.1776951668469678
321,322,1072,0.5490351786960918,132,0.16518142270281513
322,323,993,0.5085745638481521,106,0.1326456879280182
323,324,1151,0.5894957935440314,103,0.12889156468477242
324,325,1336,0.6842453346436368,100,0.1251374414415266
325,326,1338,0.6852696540068758,99,0.12388606702711134
326,327,1352,0.6924398895495486,94,0.11762919495503502
327,328,1385,0.7093411590429917,86,0.10761819963971289
328,329,1221,0.6253469712573956,71,0.0888475834234839
329,330,1185,0.606909222719094,64,0.08008796252257704
330,331,1142,0.584886356409456,4,0.005005497657661065
331,332,989,0.5065259251216743,0,0.0
332,333,988,0.5060137654400547,0,0.0
333,334,992,0.5080624041665327,0,0.0
334,335,997,0.5106232025746301,0,0.0
335,336,1043,0.5341825479291266,0,0.0
336,337,1046,0.5357190269739851,0,0.0
337,338,1051,0.5382798253820825,0,0.0
338,339,1076,0.5510838174225697,0,0.0
339,340,1114,0.5705458853241103,0,0.0
340,341,1030,0.5275244720680733,0,0.0
341,342,1087,0.5567175739203841,0,0.0
342,343,1281,0.6560765521545648,0,0.0
343,344,1341,0.6868061330517342,0,0.0
344,345,1353,0.692952049231168,0,0.0
345,346,1502,0.7692638417924719,0,0.0
346,347,1461,0.7482652948460728,0,0.0
347,348,1490,0.763117925613038,0,0.0
348,349,1805,0.9244482253231769,0,0.0
349,350,1768,0.9054983171032558,0,0.0
350,351,1773,0.9080591155113533,0,0.0
351,352,1769,0.9060104767848753,0,0.0
352,353,1462,0.7487774545276923,0,0.0
353,354,1637,0.8384053988111029,0,0.0
354,355,1691,0.8660620216185552,0,0.0
355,356,1704,0.8727200974796085,0,0.0
356,357,1923,0.9848830677542766,0,0.0
357,358,1930,0.988468185525613,0,0.0
358,359,1928,0.987443866162374,0,0.0
359,360,1949,0.9981992194763832,0,0.0
360,361,1947,0.9971749001131442,0,0.0
361,362,1943,0.9951262613866664,1,0.0012513744144152662
362,363,1966,1.0069059340639146,1,0.0012513744144152662
363,364,1965,1.006393774382295,2,0.0025027488288305324
364,365,1917,0.9818101096645596,2,0.0025027488288305324
365,366,1926,0.986419546799135,2,0.0025027488288305324
366,367,1918,0.9823222693461792,2,0.0025027488288305324
367,368,1881,0.963372361126258,2,0.0025027488288305324
